date,ccu
2021-05-15,4719959.0
2021-05-16,4745025.0
2021-05-17,3792059.0
2021-05-18,3734413.0
2021-05-19,3762394.0
2021-05-20,3738335.0
2021-05-21,4054682.0
2021-05-22,4582404.0
2021-05-23,4631780.0
2021-05-24,3953442.0
2021-05-25,3815184.0
2021-05-26,3978039.0
2021-05-27,4983025.0
2021-05-28,4579468.0
2021-05-29,4596818.0
2021-05-30,4444929.0
2021-05-31,4293811.0
2021-06-01,3923628.0
2021-06-02,4021804.0
2021-06-03,4176458.0
2021-06-04,4301906.0
2021-06-05,4387371.0
2021-06-06,4409647.0
2021-06-07,4020357.0
2021-06-08,3925814.0
2021-06-09,3962778.0
2021-06-10,4015531.0
2021-06-11,4229138.0
2021-06-12,4152842.0
2021-06-13,4392098.0
2021-06-14,4131507.0
2021-06-15,4318051.0
2021-06-16,4284864.0
2021-06-17,4273323.0
2021-06-18,4541024.0
2021-06-19,4451785.0
2021-06-20,4384510.0
2021-06-21,4308463.0
2021-06-22,4431593.0
2021-06-23,4379996.0
2021-06-24,4467454.0
2021-06-25,4701507.0
2021-06-26,4527089.0
2021-06-27,4580957.0
2021-06-28,4733039.0
2021-06-29,4760867.0
2021-06-30,4800825.0
2021-07-01,4758851.0
2021-07-02,4814770.0
2021-07-03,4661704.0
2021-07-04,4585706.0
2021-07-05,4700728.0
2021-07-06,4887183.0
2021-07-07,4792843.0
2021-07-08,4935881.0
2021-07-09,4852614.0
2021-07-10,4629758.0
2021-07-11,4678859.0
2021-07-12,4838499.0
2021-07-13,4747597.0
2021-07-14,4850537.0
2021-07-15,4784445.0
2021-07-16,4823363.0
2021-07-17,4588474.0
2021-07-18,4597910.0
2021-07-19,4811545.0
2021-07-20,4728519.0
2021-07-21,4738455.0
2021-07-22,4724055.0
2021-07-23,4849259.0
2021-07-24,4724436.0
2021-07-25,4778086.0
2021-07-26,4962303.0
2021-07-27,5048968.0
2021-07-28,5066829.0
2021-07-29,5089065.0
2021-07-30,4992638.0
